clause,clauseid,resid,actor,regularized_actors,sentiment_label,active_ind,recoded
"Urges Member States to support the African Union in these efforts including by providing all equipment, logistical, financial, material, and other resources necessary to support the rapid expansion of the African Union Mission and by supporting the efforts of the African Union aimed at a peaceful conclusion of the crisis and the protection of the welfare of the people of Darfur, welcomes the Government of Sudans request to the African Union to increase its monitoring presence in Darfur in its 9 September 2004 letter to the Security Council, and urges the Government of Sudan to take all steps necessary to follow through with this commitment and to cooperate fully with the African Union to ensure a secure and stable environment;",31055,1564,Member states,['Member States'],[0],1,0
"Stressing the need for all United Nations agencies, funds and programmes, through the country team mechanism and a One-UN approach under the guidance of the Special Representative of the Secretary-General, to further increase its focus on joint programming at all levels, to avoid duplication, ensure value for money and reduce transaction costs, as well as to establish progress indicators and transition benchmarks with the view to moving from co-ownership to affirming the full ownership and management of programmes by the Government, in full consultation and cooperation with the Government of Afghanistan, to achieve further greater coherence, coordination, efficiency and full alignment with the Government of Afghanistans reform agenda,",31123,2274,UN orgs,['UN Organizations'],[0],1,0
"Directs the Committee, in coordination with the Government of Liberia and relevant designating States and with the assistance of the Panel of Experts, to, as necessary and without delay, update the publicly available reasons for listing for entries on the travel ban and assets freeze lists as well as the Committees guidelines;",5512,2025,SC,['Security Council'],[0],0,0
"Recognizing that achieving a political solution to this long-standing dispute and enhanced cooperation between the Member States of the Maghreb Arab Union would contribute to stability and security, in turn leading to jobs, growth and opportunities for all the peoples in the Sahel region,",15,2602,Member States,['Member States'],[0],0,0
"Emphasizes the need to achieve a realistic, practicable, enduring and mutually acceptable political solution to the question of Western Sahara based on compromise and the importance of aligning the strategic focus of MINURSO and orienting resources of the United Nations to this end;",36,2602,MINURSO,['Peacekeeping'],[0],0,0
"Recognizes that piracy is a crime subject to universal jurisdiction and in that regard reiterates its call on States to favourably consider the prosecution of suspected, and imprisonment of convicted, pirates apprehended off the coast of Somalia, consistent with applicable international human rights law;",95,1976,Member states,['Member States'],[0],0,0
"Reaffirming its previous resolutions and the statements of its President concerning the situation in Somalia, and concerning Eritrea, in particular resolution 733 (1992), which established an embargo on all delivery of weapons and military equipment to Somalia (hereinafter referred to as the Somalia arms embargo), resolution 1519 (2003), resolution 1558 (2004), resolution 1587 (2005), resolution 1630 (2005), resolution 1676 (2006), resolution 1724 (2006), resolution 1744 (2007), resolution 1766 (2007), resolution 1772 (2007), resolution 1801 (2008), resolution 1811 (2008), resolution 1844 (2008), resolution 1853 (2008), resolution 1862 (2009,) resolution 1907 (2009), resolution 1916 (2010), and resolution 1972 (2011),",117,2002,SC,['Security Council'],[0],0,0
"Reaffirming its strong commitment to the sovereignty, unity, independence and territorial integrity of Sudan,",226,2517,SC,['Security Council'],[0],0,0
"Noting the need to advance the consideration of and discussions on military confidence building measures, calling for renewed efforts to implement all remaining confidence building measures, and for agreement on and implementation of further steps to build trust between the communities,",235,2197,Conflict parties,['Conflict Parties'],[0],0,0
"Recalling all its relevant resolutions, in particular resolution 1666 of 31 March 2006 (S/RES/1666),",311,1716,SC,['Security Council'],[0],0,0
"Further recalling its resolutions 1612 (2005), 1882 (2009), 1998 (2011) and 2068 (2012) on Children and Armed Conflict and its resolutions 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009), 1960 (2010), 2106 (2013) and 2122 (2013) on Women, Peace and Security,",352,2140,SC,['Security Council'],[0],0,0
"Stressing that the situation between Eritrea and Ethiopia constitutes a threat to peace and security,",407,1297,SC,['Security Council'],[0],0,0
Endorses the Framework Agreement and the Modalities as the basis for the peaceful resolution of the dispute between the two parties;,414,1297,SC,['Security Council'],[0],0,0
"Recalling its previous resolutions extending through 17 March 2016 the mandate of the United Nations Assistance Mission in Afghanistan (UNAMA) as defined in resolution 2210 (2015),",419,2255,PK,['Peacekeeping'],[0],0,0
"Emphasizing that such measures are not intended to have adverse humanitarian consequences for civilian populations nor adverse consequences for humanitarian activities or those carrying them out, and noting that humanitarian and basic human needs differ depending on the specific context,",508,2664,Member States,['Member States'],[0],0,0
"Having conducted its review of the progress of the work of the Mechanism, including in completing its functions, since the last review of the Mechanism in June 2022, pursuant to paragraph 17 of resolution 1966 (2010) and in accordance with the procedure set out in the statement of its President of 4 March 2024 (S/PRST/2024/1),",528,2740,UN orgs,['UN Organizations'],[0],0,0
"Notes the conclusion of the Councils review of the progress of the work of the Mechanism, including in completing its functions, since the last review of the Mechanism in June 2022, pursuant to resolution 1966 (2010);",546,2740,UN orgs,['UN Organizations'],[0],0,0
Reiterates its call expressed in paragraph 2 of resolution 1640 (2005) that the parties show maximum restraint and refrain from any threat or use of force against each other and reiterates its call to put an end to the exchange of hostile statements;,583,1767,Conflict parties,['Conflict Parties'],[0],0,0
"Recalling all its previous resolutions and statements of its President on the situation in Somalia, including its decision in resolution 2628 (2022) to authorise the African Union Transition Mission in Somalia (ATMIS),",597,2670,AU,['Regional Organizations'],[0],0,0
"Recalling its resolution 2086 (2013) and reaffirming the basic principles of peacekeeping, including consent of the parties, impartiality, and non-use of force, except in self-defence and defence of the mandate,",607,2241,SC,['Security Council'],[0],0,0
"Taking note of the 21 August 2015 Secretary-Generals Report (S/2015/655) and the recommendations contained therein,",634,2241,SG,['Secretary General'],[0],0,0
"Recalling the 12 December 2014 report (S/2015/31) by the Panel of Experts, and expressing its intent to further study, through the Committee, the Panels recommendations and to consider appropriate next steps,",710,2200,Panel of Experts,['SC Sanctions Committee'],[0],0,0
"Reaffirming its readiness to consider listing individuals, groups, undertakings, d titi idi t t ISIL t th Al N F t i l di th h are financing, arming, planning, or recruiting for ISIL or the Al-Nusra Front and all other individuals, groups, undertakings, and entities associated with ISIL and Al-Qaida under the ISIL (Daesh) and Al-Qaida sanctions regime, including those participating in or otherwise supporting attacks against UN peacekeepers,",756,2294,SC Sanctions committee,['SC Sanctions Committee'],[0],0,0
"Taking note of the Secretary-Generals plan for UNDOF to return incrementally to vacated positions, starting with Camp Faouar on the Bravo side, conditions permitting, given improvements in security in the northern part of the area of separation,",763,2294,PK,['Peacekeeping'],[0],0,0
"Emphasizing that security, rule of law and institutional reform, national reconciliation, and sustainable economic and social development remain key to the stability of Haiti,",788,1702,Govt,['Government'],[0],0,0
"Recognizing that conditions for conventional disarmament, demobilization, and reintegration do not currently exist in Haiti and that alternative programmes are required to address local conditions, and to further the goal of disarmament, demobilization and reintegration,",794,1702,Govt,['Government'],[0],0,0
"Determining that proliferation of nuclear, chemical, and biological weapons, as well as their means of delivery, continues to constitute a threat to international peace and security,",926,2207,SC,['Security Council'],[0],0,0
"Recalling resolution 1373 (2001) of 28 September 2001, which established the Counter-Terrorism Committee (CTC), and recalling also resolution 1624 (2005) and its other resolutions concerning threats to international peace and security caused by terrorist acts,",982,2129,SC,['Security Council'],[0],0,0
"Recalling also its intention to keep the measures imposed by paragraphs 6 to 12 of resolution 1973 (2011) under continuous review and to lift, as appropriate and when circumstances permit, those measures and to terminate authorization given to Member States in paragraph 4 of resolution 1973 (2011), in consultation with the Libyan authorities,",1023,2016,SC,['Security Council'],[0],0,0
"Recalling its previous resolutions and the statements of its President concerning the situation in Sierra Leone,",1047,1537,Govt,['Government'],[0],0,0
"Noting, however, that progress towards the benchmarks remains fragile, and some major gaps still remain, in particular with regard to the capacity of the Sierra Leone Police and armed forces to maintain security and stability effectively,",1053,1537,Govt,['Government'],[0],0,0
"Recalling that it is prepared to impose targeted sanctions under paragraph 7 (d) and (e) of its resolution 2293 (2016), regarding inter alia human rights violations or abuses or violations of international humanitarian law,",1085,2409,SC,['Security Council'],[0],0,0
"Recalling its resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) on the protection of civilians in armed conflict and its resolution 1325 (2000) on women and peace and security,",1227,1746,SC,['Security Council'],[0],0,0
"Recognizing that relevant information, including information included in INTERPOL databases from Member States, should be shared among national agencies, such that law enforcement, judicial and border security officers can proactively and systematically use that information as a resource, where appropriate and necessary, for investigations, prosecutions and screening at points of entry,",1286,2396,UN orgs,['UN Organizations'],[0],0,0
"Having considered the report of the Secretary-General on the United Nations Disengagement Observer Force of 15 November 2001 (S/2001/1079), and also reaffirming its resolution 1308 (2000) of 17 July 2000,",1344,1381,SG,['Secretary General'],[0],0,0
"Determining that the situation in Angola continues to constitute a threat to international peace and security in the region,",1350,1348,Conflict parties,['Conflict Parties'],[0],0,0
"Reaffirming General Assembly and Security Council resolutions 70/262 and 2282 (2016) of 27 April 2016, as well as A/RES/60/180 and S/RES/1645 (2005) of 20 December 2005, A/RES/65/7 and S/RES/1947 (2010) of 29 October 2010, and A/RES/72/276 and S/RES/2413 (2018) of 26 April 2018, and recalling statements of the President of the Security Council of 28 July 2016, 21 December 2017, and 18 December 2018,",1359,2558,SC,['Security Council'],[0],0,0
"Recognizing that the Government of Iraq will continue to have the primary role in coordinating international assistance to Iraq and reaffirming the importance of international assistance and development of the Iraqi economy and the importance of coordinated donor assistance,",1399,1723,Govt,['Government'],[0],0,0
"Noting the importance of continued cooperation and information exchange between the Panel of Experts and all other United Nations entities operating in Mali, within their mandates and capabilities,",1467,2484,UN orgs,['UN Organizations'],[0],0,0
"Reaffirms that these measures shall apply to individuals and entities as designated by the Committee, as set forth in paragraphs 8 and 9 of resolution 2374 (2017);",1470,2484,SC,['Security Council'],[0],0,0
Affirms that the administration of Iraq will be progressively undertaken by the evolving structures of the Iraqi interim administration;,1484,1511,Govt,['Government'],[0],0,0
"Recalling its previous relevant resolutions, including resolution 825 (1993), resolution 1540 (2004), resolution 1695 (2006), resolution 1718 (2006), resolution 1874 (2009), resolution 1887 (2009), as well as the statements of its President of 6 October 2006 (S/PRST/2006/41), 13 April 2009 (S/PRST/2009/7) and 16 April 2012 (S/PRST/2012/13),",1505,2087,SC,['Security Council'],[0],0,0
"Noting further that a vacancy in the International Court of Justice for the remainder of the term of office of Judge Thomas Buergenthal will thus occur and must be filled in accordance with the terms of the Statute of the Court,",1581,1926,UN orgs,['UN Organizations'],[0],0,0
"Underscoring the need for UNDOF to have at its disposal all necessary means and resources to carry out its mandate safely and securely,",1589,2108,PK,['Peacekeeping'],[0],0,0
"Underscores that the Government of Somalia has primary responsibility for protecting civilians in Somalia, and underlines the importance of protecting civilians in accordance with relevant provisions of international human rights law and international humanitarian law;",1704,2687,Govt,['Government'],[0],0,0
"Recalling its previous resolutions concerning the situation in Somalia, in particular resolution 733 (1992), resolution 1356 (2001), resolution 1425 (2002), resolution 1725 (2006), resolution 1744 (2007), resolution 1772 (2007), resolution 1801 (2008) and resolution 1811 (2008), and the statements of its President, in particular those of 13 July 2006 (S/PRST/2006/31), 22 December 2006 (S/PRST/2006/59), 30 April 2007 (S/PRST/2007/13), 14 June 2007 (S/PRST/2007/19) and 19 December 2007 (S/PRST/2007/49),",1776,1814,SC,['Security Council'],[0],0,0
"Reaffirming its respect for the sovereignty, territorial integrity, political independence and unity of Somalia,",1777,1814,Govt,['Government'],[0],0,0
"Underlining that the full deployment of AMISOM will help facilitate the full withdrawal of other foreign forces from Somalia and help create the conditions for lasting peace and stability there,",1788,1814,PK,['Peacekeeping'],[0],0,0
"Underscoring the importance of Member State designations pursuant to relevant resolutions and robust implementation of existing measures as a significant preventive measure in combating terrorist activity,",1851,1617,Member states,['Member States'],[0],0,0
"Taking note of the letter dated 29 January 2015 from the Secretary-General to the President of the Security Council,",1880,2212,SG,['Secretary General'],[0],0,0
"Noting that one permanent judge and two of the ad litem judges currently serving at the International Tribunal will leave before the end of 2010 upon the completion of their respective cases,",1891,1932,UN orgs,['UN Organizations'],[0],0,0
"Recalls the obligation of the Federal Government of Somalia with respect to the protection of journalists, the prevention of violence against them, and the fight against impunity for perpetrators of such acts;",2023,2093,Govt,['Government'],[0],0,0
"Noting that by that resolution the Council created a new position of Prosecutor of the International Tribunal for Rwanda,",2039,1505,SC,['Security Council'],[0],0,0
"Recognizing the significant resource and capacity challenges UNMISS faces in implementing its mandate, expressing appreciation for UNMISSs ongoing efforts to ensure the safety of IDPs seeking protection on its sites, while recognizing the importance of finding sustainable solutions for IDPs in keeping with the Guiding Principles on Internal Displacement, and underlining in this regard the need to extend its presence, including through proactive deployment and patrolling, to areas of displacement, return, and local integration,",2070,2459,PK,['Peacekeeping'],[0],0,0
"Reaffirming its resolutions 1265 (1999), 1325 (2000), 1368 (2001), 1373 (2001), 1624 (2005), 1894 (2009), 2106 (2013), 2150 (2014), 2170 (2014), 2178 (2014), 2199 (2015), 2242 (2015), 2249 (2015), 2253 (2015), 2322 (2016), 2331 (2016), 2341 (2017), 2347 (2017), 2354 (2017), 2367 (2017), 2368 (2017), 2370 (2017), and its relevant presidential statements,",2118,2490,SC,['Security Council'],[0],0,0
"Remaining concerned about the unresolved challenge of security sector reform (SSR) and disarmament, demobilization and reintegration (DDR), as well as the circulation of weapons, which continue to be significant risks to the stability of the country,",2126,2045,Govt,['Government'],[0],0,0
"Acknowledging the urgent need for the Ivorian Government to train and equip its security forces, especially the police and gendarmerie with standard policing weapons and ammunition,",2128,2045,Govt,['Government'],[0],0,0
"Notes the Financial Action Task Force (FATF) international standards and, inter alia, best practices relating to targeted financial sanctions, as referenced in paragraph 12 of this resolution;",2274,2161,FATF,['UN Organizations'],[0],0,0
"Stressing the primary responsibility of the Sierra Leone Police for the maintenance of law and order,",2357,1389,Police,['Police'],[0],0,0
"Reaffirming its commitment to upholding the purposes and principles of the Charter of the United Nations, including its commitment to and respect for the principles of political independence, sovereign equality and territorial integrity of all States in conducting all peacekeeping activities and the need for States to comply with their obligations under international law,",2399,2382,PK,['Peacekeeping'],[0],0,0
"Reaffirming its commitment to the political settlement of the conflicts in the former Yugoslavia, preserving the sovereignty and territorial integrity of all States there within their internationally recognized borders,",2433,1948,SC,['Security Council'],[0],0,0
"Emphasizing that there are existing prohibitions under international humanitarian law against attacks intentionally directed against civilians, as such, which in situations of armed conflict constitute war crimes, and recalling the need for States to end impunity for such criminal acts,",2503,2222,Member States,['Member States'],[0],0,0
"Recognising the need for timely data and information on, and analysis of, the impact of armed conflict on persons with disabilities,",2575,2475,SC,['Security Council'],[0],0,0
"Underlines the benefit of providing sustainable, timely, appropriate, inclusive and accessible assistance to civilians with disabilities affected by armed conflict, including reintegration, rehabilitation and psychosocial support, to ensure that their specific needs are effectively addressed, in particular those of women and children with disabilities;",2583,2475,Conflict parties,['Conflict Parties'],[0],0,0
"Recognizing the need for States in or emerging from armed conflict to restore or build accountable security institutions and independent national judicial systems,",2609,1894,Govt,['Government'],[0],0,0
"Recalling the inclusion of war crimes, crimes against humanity and genocide in the statutes of the ad hoc international criminal tribunals and the Rome Statute of the International Criminal Court, and emphasizing in this regard the principle of complementarity,",2610,1894,SC,['Security Council'],[0],0,0
"Recognizing the valuable contribution to the protection of children in armed conflict by the SRSG on Children and Armed Conflict and the Security Council Working Group on Children and Armed Conflict, including its conclusions and recommendations issued in line with resolution 1612 (2005), and recalling resolution 1882 (2009), which aims to strengthen the protection of children in situations of armed conflict,",2613,1894,SG,['Secretary General'],[0],0,0
"Reiterates its willingness to respond to situations of armed conflict where civilians are being targeted or humanitarian assistance to civilians is being deliberately obstructed, including through the consideration of appropriate measures at the Security Councils disposal in accordance with the Charter of the United Nations;",2623,1894,SC,['Security Council'],[0],0,0
"Expresses its intention to review the measures renewed in paragraph 1 no later than 12 February 2024, through inter alia modification, suspension, or progressive lifting of these measures, in the light of progress achieved by the Government of Sudan on benchmarks 2 and 3 and related targets as outlined in section IV of the Secretary-Generals report of 31 July 2021 (S/2021/696), in light of the upcoming interim report by the Panel of Experts due by 12 August 2023 as well as the final report by the Panel of Experts due by 13 January 2024, and taking into account relevant Security Council resolutions;",2702,2676,Govt,['Government'],[0],0,0
"Recalling resolutions 2378 (2017) and 2382 (2017), which request the Secretary-General to ensure that data related to the effectiveness of peacekeeping operations, including peacekeeping performance data, is used to improve analytics and the evaluation of mission operations, based on clear and well identified benchmarks,",2715,2410,SG,['Secretary General'],[0],0,0
"Further authorizes MINUJUSTH to protect civilians under imminent threat of physical violence, within its capabilities and areas of deployment, as needed;",2734,2410,PK,['Peacekeeping'],[0],0,0
"Having considered the latest report of the Secretary-General on BNUB (S/2014/36) and, in particular, the conclusions of the Strategic Assessment Mission and the analysis it contains of progress and remaining challenges in relation to the benchmarks transmitted to the Security Council by the Secretary-General pursuant to resolutions 1959 (2010), 2027 (2011) and 2090 (2013),",2755,2137,SG,['Secretary General'],[0],0,0
"Having also considered the request of the Government of Burundi, in particular the statement of its Minister of Foreign Affairs and International Cooperation to the Security Council on 28 January 2014 regarding the transition of BNUB to a regular United Nations Country Team by 31 December 2014 and further noting its request for a United Nations electoral observer mission before, during and after the 2015 elections in Burundi,",2756,2137,Govt,['Government'],[0],0,0
"Recalling also that in the statement of its President dated 4 September (S/PRST/2008/33) it took note of the parties request in the Djibouti Agreement that the United Nations, within a period of 120 days, authorize and deploy an international stabilization force and looking forward to the Secretary-Generals report due 60 days from its passage, in particular a detailed and consolidated description of a feasible multinational force, as well as a detailed concept of operations for a feasible United Nations peacekeeping operation,",2785,1838,Govt,['Government'],[0],0,0
"Recalling its relevant resolutions on Burundi and in particular resolution 1545 of 21 May 2004,",2797,1641,SC,['Security Council'],[0],0,0
"Reiterating its commitment to a comprehensive and lasting settlement of the situation in Somalia,",2803,1964,SC,['Security Council'],[0],0,0
"Recalling its resolutions 2042 (2012), 2043 (2012), 2118 (2013), 2139 (2014), 2165 (2014), 2175 (2014), 2191 (2014), 2209 (2015), 2235 (2015) and 2254 (2015), and its Presidential Statements of 3 August 2011 (S/PRST/2011/16), 21 March 2012 (S/PRST/2012/6), 5 April 2012 (S/PRST/2012/10), 2 October 2013 (S/PRST/2013/15), 24 April 2015 (S/PRST/2015/10) and 17 August 2015 (S/PRST/2015/15),",2841,2258,SC,['Security Council'],[0],0,0
"Noting the role that ceasefire agreements which are consistent with humanitarian principles and international humanitarian law can play in facilitating the delivery of humanitarian assistance in order to help save civilian lives, and welcoming in this regard recent progress on ceasefire agreements in Syria that have benefited the humanitarian situation,",2860,2258,Conflict parties,['Conflict Parties'],[0],0,0
"Recognizing that, in the particular circumstances of Sierra Leone, a credible system of justice and accountability for the very serious crimes committed there would end impunity and would contribute to the process of national reconciliation and to the restoration and maintenance of peace,",2992,1315,Govt,['Government'],[0],0,0
"Noting that the report of the Secretary-General of 14 March 2006 (S/2006/159) recommended, inter alia, changes to the configuration of the United Nations Mission in Liberia (UNMIL), in view of the completion by the mission of a number of tasks, and in the context of a review of the appropriate mandates for and composition of the mission, and that his report of 9 June 2006 (S/2006/376) reiterated his recommendation for the addition of a formed police unit,",3069,1694,PK,['Peacekeeping'],[0],0,0
"Recalling the reports of the Secretary-General which illustrate the seriousness of piracy and armed robbery at sea off the coast of Somalia and provide useful guidance for the investigation and prosecution of pirates, including on specialized anti-piracy courts,",3100,2316,SG,['Secretary General'],[0],0,0
"Recalling also that the Statement underlined the need for all Member States to resolve peacefully in accordance with the Charter any problems in that context threatening or disrupting the maintenance of regional and global stability,",3145,1540,Member states,['Member States'],[0],0,0
"Reaffirming its commitment to the sovereignty, territorial integrity and political independence of the Democratic Republic of the Congo,",3208,1856,SC,['Security Council'],[0],0,0
"Recognizing the link between the illegal exploitation of natural resources, the illicit trade in such resources and the proliferation and trafficking of arms as one of the major factors fuelling and exacerbating conflicts in the Great Lakes region of Africa, and in particular in the Democratic Republic of the Congo,",3216,1856,Govt,['Government'],[0],0,0
"Recalling all its previous resolutions on Lebanon, in particular resolutions 425 (1978), 426 (1978), 1559 (2004), 1680 (2006), 1701 (2006), 1773 (2007), 1832 (2008), 1884 (2009), 1937 (2010) and 2004 (2011), 2064 (2012), 2115 (2013), 2172 (2014) and 2236 (2015) as well as the statements of its President on the situation in Lebanon and the Press statement dated 19 December 2016,",3285,2373,SC,['Security Council'],[0],0,0
"Recalling the request from the Government of Lebanon to deploy an international force to assist it to exercise its authority throughout the territory, and reaffirming UNIFILs authority to take all necessary action in areas of operations of its forces and as it deems within its capabilities, to ensure that its area of operations is not utilized for hostile activities of any kind and to resist attempts by forceful means to prevent it from discharging its mandate,",3298,2373,PK,['Peacekeeping'],[0],0,0
"Regrets the deterioration of the situation in the zone of conflict due to the ongoing violence, hostage-taking incidents, the rise in criminality and the activities of illegal armed groups in the conflict zone, which constitutes a constant threat to the peace process;",3327,1364,SC,['Security Council'],[0],0,0
"Stresses the importance of early submission to the parties of the paper as a starting point and significant catalyst for negotiations on a comprehensive political settlement, and deeply regrets that the Special Representative of the Secretary- General has not been in a position to do so;",3330,1364,Conflict parties,['Conflict Parties'],[0],0,0
"Recalling the critical importance of full adherence to applicable international law in the handling of asylum seekers and refugees,",3416,2723,Regional stakeholders,['Regional Stakeholders'],[0],0,0
"Noting that the Government of Cyprus is agreed that in view of the prevailing conditions on the island it is necessary to keep the United Nations Peacekeeping Force in Cyprus (UNFICYP) beyond 31 January 2024,",3421,2723,Govt,['Government'],[0],0,0
"Recalls that it is fully prepared to impose targeted measures pursuant to paragraph 16 of resolution 1842 (2008), including among other things against persons who are determined to be a threat to the peace and national reconciliation process in Cte dIvoire, and recalls further that, pursuant to paragraph 6 of the above mentioned resolution, any threat to the electoral process in Cte dIvoire, in particular any attack or obstruction of the action of the Independent Electoral Commission in charge of the organization of the elections or the actions of the operators mentioned in paragraphs 1.33 and 2.11 of the Ouagadougou Political Agreement, shall constitute a threat to the peace and national reconciliation process for the purposes of paragraph 9 and 11 of resolution 1572 (2004);",3466,1880,SC,['Security Council'],[0],0,0
"Noting the Secretary-Generals assessment that there is an urgent need to resume and strengthen the military campaign against Al-Shabaab, which requires an enhancement of international support to the Somali National Security Forces and to AMISOM,",3497,2124,SG,['Secretary General'],[0],0,0
Further reiterates paragraph 13 of resolution 2093 (2013) on the strengthening of women and childrens protection in AMISOM operations and activities;,3506,2124,PK,['Peacekeeping'],[0],0,0
"Taking note of the Secretary-Generals special report of 10 September 2002 (S/2002/1005) and its recommendations,",3646,1445,SG,['Secretary General'],[0],0,0
"Expressing its appreciation to UNDOF, including Observer Group Golan, for re-establishing its presence at Camp Faouar and for further progress towards expanding its presence in its area of operations through patrols and rehabilitation of positions on the Bravo side,",3693,2555,PK,['Peacekeeping'],[0],0,0
"Recalling resolution 2417 (2018) and Presidential Statement S/PRST/2023/4, and the link between armed conflict and conflict-induced food insecurity and the threat of famine,",3815,2705,SC,['Security Council'],[0],0,0
"Having considered the question of the recommendation for the appointment of the Secretary-General of the United Nations,",3833,1987,GA,['United Nations General Assembly'],[0],0,0
"Recalling its previous resolutions and the statements by its President concerning the Democratic Republic of the Congo,",3845,1493,Govt,['Government'],[0],0,0
"Notes with appreciation the recommendations in the second special report of the Secretary-General and authorizes increasing the military strength of MONUC to 10,800 personnel;",3858,1493,SG,['Secretary General'],[0],0,0
"Recalling its previous relevant resolutions, including resolution 1696 (2006), resolution 1737 (2006), resolution 1747 (2007), resolution 1803 (2008), 1835 (2008), 1887 (2009), 1929 (2010), 1984 (2011), and 2049 (2012), as well as the statement of its President of 29 March 2006 (S/PRST/2006/15), and reaffirming their provisions,",3887,2105,SC,['Security Council'],[0],0,0
"Recalling the 9 November 2012 interim report by the Panel of Experts appointed by the Secretary-General pursuant to paragraph 29 of resolution 1929 (2010) and the 3 June 2013 final report (S/2013/331) by the Panel,",3888,2105,SC,['Security Council'],[0],0,0
"Recalling that the Afghanistan Compact is based on a partnership between the Afghan Government and the international community, based on the desire of the parties for Afghanistan to progressively assume responsibility for its own development and security, and with a central and impartial coordinating role for the United Nations,",3895,1868,Govt,['Government'],[0],0,0
"Recalling the importance of the Kabul Declaration of 22 December 2002 on Good-Neighbourly Relations (Kabul Declaration) (S/2002/1416), looking forward to the Third Regional Economic Cooperation Conference on Afghanistan to be held in Islamabad, and stressing the crucial importance of advancing regional cooperation as an effective means to promote security, governance and development in Afghanistan,",3908,1868,Regional stakeholders,['Regional Stakeholders'],[0],0,0
"Affirms also the importance of voluntary, safe, orderly return and sustainable reintegration of the internally displaced persons;",3944,1868,SC,['Security Council'],[0],0,0
"Recalling the responsibility of the Transitional Authorities to protect and promote the right to freedom of movement of all people in the CAR, including IDPs, without distinction, their freedom to choose where to reside, and to comply with their right to return to their own country or to leave in order to seek asylum in other States,",3964,2217,Govt,['Government'],[0],0,0
"Recalling the need for an inclusive and effective disarmament, demobilization and reintegration process (DDR) as well as repatriation (DDRR) in the case of foreign fighters, including children formerly associated with armed forces and groups, while respecting the need to fight against impunity,",3971,2217,SC,['Security Council'],[0],0,0
"Taking note of the final reports of the Somalia and Eritrea Monitoring Group (the Monitoring Group) on Somalia (S/2013/413) and Eritrea,",4127,2111,PK,['Peacekeeping'],[0],0,0
"Underlining the importance of international support to the Federal Government of Somalia in fulfilling its commitments under the terms of the suspension of the arms embargo,",4138,2111,Govt,['Government'],[0],0,0
Reiterates its willingness to adopt targeted measures against individuals and entities on the basis of the above mentioned criteria;,4143,2111,SC,['Security Council'],[0],0,0
"Underlines that the increases in the force strength decided in resolutions 2036 (2012) and 2124 (2013) were to provide short term enhancement to AMISOMs military capacity, and as part of an overall exit strategy for AMISOM, after which a decrease in AMISOMs force strength will be considered in light of progress on the ground;",4208,2431,PK,['Peacekeeping'],[0],0,0
"Recalling its previous resolutions and statements by its President on the situation in Liberia and West Africa,",4264,1819,SC,['Security Council'],[0],0,0
"Further recalling the confirmation by the Presidency of Bosnia and Herzegovina, on behalf of Bosnia and Herzegovina, including its constituent entities, of the arrangements for EUFOR ALTHEA and the NATO Headquarters presence (S/2004/917),",4293,2183,Govt,['Government'],[0],0,0
"Recalling the 2 July 2010 midterm report by the Panel of Experts appointed by the Secretary-General pursuant to paragraph 3 (b) of resolution 1591 (2005) and extended by subsequent resolutions, taking note of the Panel of Experts final report, and expressing its intent to study, through the Committee, the Panels recommendations and to consider appropriate next steps,",4336,1945,SC sanctions committee,['SC Sanctions Committee'],[0],0,0
"Having considered the report of the Secretary-General on the United Nations Disengagement Observer Force of 18 May 2001 (S/2001/499), and also reaffirming its resolution 1308 (2000) of 17 July 2000,",4352,1351,SG,['Secretary General'],[0],0,0
"Recalling the provisions of the Agreement on Peace and Reconciliation in Mali (the Agreement) calling upon the Security Council to give its full support to the Agreement, to closely monitor its implementation and, if necessary, to take measures against anyone hindering the implementation of the commitments contained therein or the realization of its objectives,",4354,2541,SC,['Security Council'],[0],0,0
"Taking note of the decisions of the Security Council Committee established pursuant to resolution 2374 (2017) concerning Mali (the Committee) of 20 December 2018 and 10 July 2019 that several individuals be placed on the list of individuals and entities subject to measures pursuant to resolution 2374 (2017) (the 2374 Sanctions List) and further taking note of the intention of the Committee to consider the removal of these individuals from the 2374 Sanctions List if the priority measures listed in paragraph 3 of resolution 2531 (2020) are fully implemented and the individuals designated cease all illicit activities, including those listed in the statement of case, while stressing that the Security Council has not yet seen sufficient progress to merit such consideration,",4359,2541,SC sanctions committee,['SC Sanctions Committee'],[0],0,0
"Acting under article 41 of Chapter VII of the Charter of the United Nations,",4478,2048,Govt,['Government'],[0],0,0
"Noting that the Government of Cyprus is agreed that in view of the prevailing conditions on the island it is necessary to keep the United Nations Peacekeeping Force in Cyprus (UNFICYP) beyond 31 January 2020,",4630,2506,Govt,['Government'],[0],0,0
"Reaffirming the Single Convention on Narcotic Drugs of 1961 as amended by the 1972 Protocol, the Convention on Psychotropic Substances of 1971, the United Nations Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances of 1988, the United Nations Convention against Transnational Organized Crime of 2000 and the Protocols thereto, the United Nations Convention against Corruption of 2003, and the international counter-terrorism conventions and protocols,",4671,2482,SC,['Security Council'],[0],0,0
"Noting that the Government of Cyprus has agreed that in view of the prevailing conditions in the island it is necessary to keep the United Nations Peacekeeping Force in Cyprus (UNFICYP) beyond 15 December 2003,",4750,1517,Govt,['Government'],[0],0,0
